question,gold_answer,llm_response,correct,jacccard,cosine
What is the key measurement we utilize in our acquisitions of businesses and common stocks?,intrinsic value,"The key measurement Berkshire Hathaway utilizes in acquisitions of businesses and common stocks is intrinsic value. Warren Buffett emphasizes focusing on the long-term economic value of a business rather than short-term market prices or accounting metrics. When evaluating potential acquisitions or investments, Berkshire calculates the intrinsic value based on factors like:

1. Understanding the business and its long-term prospects
2. The economics of the business and its ability to generate cash flows
3. The quality of management
4. Competitive advantages and durability of the business

Buffett stresses ignoring short-term price fluctuations and instead determining if the business is worth owning at",True,True,True
What account is usually established and subsequently written off?,goodwill,"According to the passage, when a company is acquired using ""purchase"" accounting, a ""goodwill"" account is usually established and subsequently written off. This goodwill account creates a large annual charge that typically persists for decades, which is why many managers prefer ""pooling"" accounting instead. The passage states that ""purchase accounting because it almost always requires that a 'goodwill' account be established and subsequently written off — a process that saddles earnings with a large annual charge that normally persists for decades."" This goodwill amortization is described as contentious, with many CEOs arguing that such charges are often spurious and don't reflect economic reality.",True,False,True
What do repurchases support?,stock price,"Based on the information provided, stock repurchases can support or ""pump"" a company's stock price, but this is often done for questionable reasons. Warren Buffett argues that repurchases should only be made when a company's stock is trading below its intrinsic value. When done properly, repurchases can benefit continuing shareholders by increasing their ownership stake in the company. However, Buffett cautions that many companies repurchase shares above intrinsic value, which penalizes continuing shareholders. He emphasizes that repurchases should be price-dependent and driven by enhancing per-share value for long-term shareholders, not by a desire to artificially support the stock price or follow market trends.",True,True,True
What is the NYSE?,new york stock exchange,"The NYSE refers to the New York Stock Exchange, which is one of the world's largest and most prominent stock exchanges. It is mentioned in the provided text as a reference point for financial markets. Specifically, the document notes that the value of seats on the New York Stock Exchange took a long time to recover after a market decline, indicating its importance as a barometer of overall market conditions and investor sentiment. The NYSE is where many major U.S. companies' stocks are traded, and it plays a crucial role in global financial markets. Its performance and the value of its trading seats are often seen as indicators of broader economic and market trends.",True,True,True
What is the S&P 500?,The Standard and Poor's 500,"The S&P 500 is a stock market index that measures the performance of 500 large companies listed on stock exchanges in the United States. Based on the context provided:

1. It's used as a benchmark to compare investment performance, particularly against Berkshire Hathaway's book value growth.

2. It represents a broad cross-section of American business, weighted by market value.

3. Over time, the S&P 500 has earned far more than 10% annually on shareholders' equity.

4. It provides dividend payments, which were about 2.5% annually in late 2012.

5. Companies in the index retain earnings to expand operations and repurchase",False,False,True
What is the most useful calculation to measure the long term rate of increase in our intrinsic value?,book value,"According to Warren Buffett in the Berkshire Hathaway shareholder letter, the most useful calculation to measure the long-term rate of increase in intrinsic value is the gain in per-share intrinsic business value. However, Buffett notes that calculations of intrinsic business value are subjective. As a proxy, he suggests using book value, which he considers a useful but somewhat understated measure. Buffett provides a table showing two key components for estimating Berkshire's intrinsic value: per-share investments and pre-tax earnings per share from operating businesses (excluding investment income). He states that tracking these two figures over time gives insight into the growth of Berkshire's intr",True,False,True
What is Scott Fetzer Financial?,credit company,"Scott Fetzer Financial is likely the finance subsidiary mentioned in the passage about Scott Fetzer Company. The document states that Scott Fetzer uses ""only minor amounts of borrowed money (except for the debt it employs - appropriately - in its finance subsidiary)."" While not explicitly named, this finance subsidiary appears to be a part of Scott Fetzer's business operations. Scott Fetzer was acquired by Berkshire Hathaway in 1986 for about $320 million. The company had 17 businesses at the time, including well-known products like Kirby home-care systems and World Book encyclopedias. The finance subsidiary would presumably handle financial services or financing for Scott Fetzer's",False,False,True
What are the five major categories of marketable securities for insurance companies?,"long-term common stock investments, medium-term fixed-income  securities, long-term fixed-income securities, short-term  cash equivalents, and short-term arbitrage commitments.","According to the document, the five major categories of marketable securities for insurance companies are:

1. Long-term common stock investments
2. Medium-term fixed-income securities 
3. Long-term fixed-income securities
4. Short-term cash equivalents
5. Short-term arbitrage commitments

The document states that Berkshire Hathaway has no particular bias when choosing among these categories. Instead, they continuously search for the highest after-tax returns as measured by ""mathematical expectation,"" while limiting themselves to investment alternatives they understand. Their goal is to maximize eventual net worth rather than maximize immediately reportable earnings.",False,False,True
What is a substitute for short term cash equivalents?,arbitrage,"Based on the information provided, there are no good substitutes for short-term cash equivalents like U.S. Treasury bills when it comes to maintaining liquidity and financial stability. The passage emphasizes that only cash is legal tender when bills come due, and warns against using other instruments claimed to provide liquidity but which may fail to do so when truly needed. Berkshire Hathaway maintains at least $20 billion in cash equivalents, specifically U.S. Treasury bills, to ensure they always have sufficient liquidity. The text strongly advises against using alternatives or derivatives that could require large collateral calls. In essence, the message is that there is no real substitute for highly liquid, low-risk cash equivalents",False,False,False
An investor needs to have a general understanding of what?,business economics,"Based on the behavioral science principles mentioned, an investor needs to have a general understanding of:

1. Their own psychological biases and tendencies that can affect decision-making.
2. Market psychology and how crowd behavior influences asset prices.
3. Risk tolerance and how emotions can impact risk perception.
4. The importance of developing a disciplined investment strategy.
5. How to manage cognitive biases like overconfidence, loss aversion, and recency bias.
6. The value of diversification and long-term thinking.
7. The limitations of human decision-making in complex financial markets.
8. How to use data and objective analysis to counterbalance emotional reactions.
9. The potential pit",False,False,True
What accounting principles require purchase-premiums to be charged off business-by-business?,gaap,"According to the passage, Generally Accepted Accounting Principles (GAAP) require purchase-premiums to be charged off business-by-business. However, Berkshire Hathaway chooses to present their earnings report differently, aggregating purchase-accounting adjustments and showing them separately rather than assigning them to specific businesses. Berkshire believes this alternate presentation is more useful for investors and managers to view the earnings of their businesses as if they had not been purchased. The passage states that this non-GAAP presentation allows readers to ""view the earnings of our businesses as they would have been reported had we not purchased them."" Nonetheless, Berkshire notes that the total net earnings shown in their preferred format match",True,False,True
What is the cornerstone of Berkshire?,insurance business,"The cornerstone of Berkshire Hathaway is its unique and loyal shareholder base. According to Warren Buffett's letter, Berkshire has ""a very large corps of individuals and families"" who have invested with an intent approaching ""til death do us part."" These long-term individual owners are considered partners by Buffett and Charlie Munger, and are constantly kept in mind when making decisions. 

Buffett emphasizes that these shareholders have entrusted Berkshire with a significant portion of their savings, often viewing the company as one they feel most comfortable with, even if it may not always be the best performing investment. This stable, committed shareholder base allows Berkshire to focus on long",False,False,False
What is a falling currency supposed to cure?,trade deficit,"According to the passage, a falling currency is supposed to cure a trade deficit. When a country's currency falls in value, it makes that country's products cheaper for foreigners to buy and foreign products more expensive for domestic consumers. This is intended to boost exports and reduce imports, thereby helping to balance trade. However, the passage notes that despite a large drop in the U.S. dollar's value, the trade deficit with countries like Germany and Canada actually increased between 2002 and 2007, suggesting that currency devaluation alone may not be sufficient to resolve trade imbalances.",True,True,True
What are the general accepted accounting principles?,gaap,"Based on the information provided, some key aspects of Generally Accepted Accounting Principles (GAAP) mentioned include:

1. For acquisitions, GAAP allows two methods: ""purchase"" and ""pooling"" accounting. 

2. For ownership interests:
- Over 50% ownership requires full consolidation of financials.
- 20-50% ownership is reported via a one-line entry of proportional net income.
- Under 20% ownership is typically reported at cost or market value.

3. Goodwill is often established in purchase accounting and amortized over time, though the document argues this can conflict with economic reality in many cases.

4. The Financial",True,False,True
What is Berkshire's core business?,insurance,"Berkshire Hathaway's core business is investing in and owning a diverse portfolio of companies across various industries. While it started as a textile company, Berkshire has evolved into a conglomerate with major holdings in insurance, railroads, utilities, and numerous other sectors.

Key aspects of Berkshire's core business model include:

1. Long-term ownership of well-run companies
2. Allowing acquired businesses to operate independently
3. Emphasizing financial strength and ability to grow
4. Efficient capital allocation between subsidiaries
5. Focus on intrinsic business value rather than short-term profits

Major wholly-owned subsidiaries include GEICO, BNSF Railway,",True,False,False
What is the activity in which consumption today is foregone in an attempt to allow greater consumption at a later date?,investing,"Based on the information provided, the activity you're referring to is saving. The life-cycle hypothesis describes how individuals divide their income between consumption and saving over their lifetime. Saving involves forgoing current consumption in order to have more resources available for future consumption, particularly during retirement. 

The text mentions that people generally prefer to maintain a relatively constant standard of living throughout their lives. To achieve this, they save during their working years when income is higher, building up assets to support consumption in retirement when income is lower. This creates a ""hump-shaped"" savings profile over a person's lifetime, with savings gradually increasing, peaking, and then declining as the saved assets are used to fund retirement consumption.",False,False,True
