question,gold_answer,llm_response,correct,jacccard,cosine
What is the key measurement we utilize in our acquisitions of businesses and common stocks?,intrinsic value,"Based on the documents, the key measurement in Berkshire's acquisitions is intrinsic business value. Warren Buffett emphasizes understanding the business thoroughly and being able to reasonably predict what it will look like economically in 5-10 years. He is critical of traditional metrics like stock premiums or earnings-per-share, instead focusing on the long-term economic potential of a business. 

Specifically, Buffett looks for businesses that:
- Have good economics
- Are run by capable and honest people
- Can potentially grow and invest additional capital at attractive rates
- Can be understood in terms of their future economic prospects

Buffett warns against getting ""dreamy-eyed"" during",False,False,True
What account is usually established and subsequently written off?,goodwill,"According to the document, when a company is acquired using purchase accounting, a ""goodwill"" account is typically established and subsequently written off. Management usually dislikes this because it saddles earnings with a large annual charge that normally persists for decades. The text notes that economic goodwill often does not actually diminish in value, and in many cases, may even grow over time. Warren Buffett argues that mandating goodwill amortization often conflicts with reality, as the value of goodwill can actually increase, similar to how land value fluctuates.",True,False,True
What do repurchases support?,stock price,"Based on the passage, Warren Buffett suggests that modern share repurchases are often wrongly used to support or pump up stock prices, rather than to create genuine shareholder value. He criticizes companies that repurchase shares primarily to:

1. ""Show confidence""
2. Be fashionable
3. Temporarily boost stock price

Buffett emphasizes that repurchases should only make sense if shares are bought below their intrinsic value. He argues that buying shares above intrinsic value actually penalizes continuing shareholders by essentially ""buying dollar bills for $1.10"".

For Berkshire Hathaway specifically, Buffett states they will only repurchase shares when they believe",True,True,True
What is the NYSE?,new york stock exchange,"Based on the references and limited context provided, I can offer a basic description:

The NYSE (New York Stock Exchange) is a prominent stock exchange located in the United States where publicly traded companies' stocks are bought and sold. In the text, it's briefly mentioned in the context of stock seat values, suggesting it's a key financial marketplace. From the Berkshire Hathaway investment document, we can see it's a significant platform where major companies like American Express, Apple, Bank of America, and others are traded. While the provided documents don't give a comprehensive definition, the NYSE is essentially a centralized marketplace for securities trading, representing one of the world's most important financial institutions.",True,False,True
What is the S&P 500?,The Standard and Poor's 500,"Based on the documents, while there's no explicit definition, the S&P 500 is described as an index that:

1. Mirrors a broad cross-section of American businesses
2. Is weighted appropriately by market value
3. Has historically earned more than 10% annually on shareholders' equity
4. Represents a diverse range of companies

Warren Buffett views the S&P 500 as a representation of the overall American business landscape. In the text, he notes that the index's companies pay dividends, retain earnings for expansion, and often repurchase shares - actions that can increase earnings per share over time.

The index is used as a benchmark for investment performance, with Buff",False,False,True
What is the most useful calculation to measure the long term rate of increase in our intrinsic value?,book value,"Based on Warren Buffett's letters, book value serves as a useful proxy for measuring long-term intrinsic value, though Buffett emphasizes it is somewhat understated. In the 1984 letter, he specifically notes that while calculations of intrinsic business value are subjective, book value can provide a reasonable measurement.

Buffett highlights the importance of evaluating economic gains by comparing them to the capital that produces them. In the 1997 letter, he further clarifies that what truly counts are gains in per-share intrinsic business value, which tends to move roughly in tandem with book value.

He recommends tracking two key components:
1. Per-share investments (including",True,True,True
What is Scott Fetzer Financial?,credit company,"Based on the document, there is no specific detailed information about a ""Scott Fetzer Financial"" entity. The text only mentions Scott Fetzer as a company Berkshire Hathaway acquired in 1986 for about $320 million, with sales of around $700 million derived from 17 businesses. The document notes the company has multiple business lines including Kirby home-care systems, Campbell Hausfeld air compressors, Wayne burners and water pumps, and World Book encyclopedias. There is a brief reference to a ""finance subsidiary"" being appropriately leveraged, but no specific details are provided about a dedicated financial division. More research would be needed to definitively describe Scott",False,False,True
What are the five major categories of marketable securities for insurance companies?,"long-term common stock investments, medium-term fixed-income  securities, long-term fixed-income securities, short-term  cash equivalents, and short-term arbitrage commitments.","According to the document, the five major categories of marketable securities for insurance companies are:

1. Long-term common stock investments
2. Medium-term fixed-income securities
3. Long-term fixed-income securities
4. Short-term cash equivalents
5. Short-term arbitrage commitments

The text emphasizes that they have no particular bias towards any category, but continuously search for the highest after-tax returns while limiting themselves to investment alternatives they understand. Their goal is to maximize eventual net worth, not immediately reportable earnings.",False,False,True
What is a substitute for short term cash equivalents?,arbitrage,"Based on the document, the text specifically warns against substitutes for cash equivalents. Warren Buffett emphasizes that only U.S. Treasury bills are true cash equivalents, and other claimed ""substitutes for cash"" may not actually provide liquidity when truly needed. The passage states: ""When bills come due, only cash is legal tender. Don't leave home without it.""

Buffett is critical of financial instruments that claim to offer liquidity but may fail during times of financial stress, as demonstrated during the 2008 financial crisis. He advocates maintaining a substantial cash reserve in U.S. Treasury bills to ensure financial stability and the ability to act quickly in uncertain economic conditions.

In short, according to this",False,False,False
An investor needs to have a general understanding of what?,business economics,"Based on behavioral science principles for investing, an investor needs to have a general understanding of:

1. Cognitive Biases
- How psychological tendencies can impact investment decisions
- Recognizing personal emotional and mental shortcuts that may distort rational thinking

2. Risk Management
- Understanding personal risk tolerance
- Diversification strategies
- Long-term investment perspective

3. Market Psychology
- How collective investor behavior influences market movements
- Recognizing market sentiment and potential overreactions
- Understanding herd mentality

4. Personal Financial Goals
- Aligning investment strategy with individual objectives
- Setting realistic expectations
- Creating a disciplined investment approach

5. Basic Financial Literacy
- fundamental investment concepts",False,False,False
What accounting principles require purchase-premiums to be charged off business-by-business?,gaap,"According to the document, Generally Accepted Accounting Principles (GAAP) require purchase-premiums to be charged off business-by-business. However, Berkshire Hathaway believes this approach is less useful for investors and managers. Instead, they prefer to aggregate purchase-accounting adjustments separately, which allows viewers to see the earnings of their businesses as they would have been reported if the businesses had not been purchased. This alternative presentation provides, in their view, a more transparent and comprehensible view of the company's financial performance.",True,False,True
What is the cornerstone of Berkshire?,insurance business,"Based on the document, the cornerstone of Berkshire is its long-term, loyal shareholders. Warren Buffett emphasizes that Berkshire has a unique base of individual investors who have a ""til death do us part"" commitment to the company. These shareholders are not driven by short-term market headlines or chatter, but rather by a sense of comfort and trust in the company. Buffett and Charlie Munger view these long-term individual owners as true ""partners"" and consistently keep them in mind when making business decisions. The relationship is so strong that Buffett personally expresses gratitude, stating, ""It feels good to 'work' for you, and you have our thanks for your trust.""",False,False,False
What is a falling currency supposed to cure?,trade deficit,"According to the document, a falling currency is supposed to cure a trade deficit. Specifically, when the dollar falls, it makes U.S. products cheaper for foreigners to buy and foreign products more expensive for U.S. citizens. However, the text notes that despite the large drop in the dollar, this mechanism has not been effective in balancing trade. The author provides examples showing that trade deficits with countries like Germany and Canada actually increased even as their currencies appreciated against the dollar, suggesting that a falling currency may not automatically resolve trade imbalances.",True,False,True
What are the general accepted accounting principles?,gaap,"Based on the documents, Generally Accepted Accounting Principles (GAAP) are accounting standards that govern how companies record financial transactions, particularly in cases of acquisitions. Key points include:

1. For acquisitions, GAAP previously allowed two methods:
- ""Purchase"" accounting: Can use cash or stock, requires establishing a goodwill account
- ""Pooling"" accounting: Must use stock, avoids goodwill account

2. GAAP requires different accounting treatments based on ownership percentage:
- Over 50% ownership: Full consolidation of sales, expenses, taxes, and earnings
- 20-50% ownership: Proportional share of net income included
- Less than ",True,False,True
What is Berkshire's core business?,insurance,"Based on the document, Berkshire Hathaway is a diverse conglomerate that focuses on acquiring and permanently owning businesses across various sectors. Warren Buffett emphasizes that Berkshire offers a unique ""third choice"" for business owners looking to sell - a permanent home that maintains the company's culture and provides financial strength. 

Key characteristics include:
- Ability to move funds between businesses instantly and without tax
- Ownership of asset-heavy businesses like BNSF (railroad) and BHE (energy)
- Preference for businesses that require minimal assets and offer high margins
- Commitment to long-term ownership and supporting subsidiary companies

The document highlights that Berkshire owns $154",False,False,False
